stock_code,stock_name,industry_code,final_score,rank,raw_dart_score,raw_industry_score,normalized_dart_score,normalized_industry_score,normalized_financial_score,block_scores,risk_flags,stage2_individual_stock_score,stage1_sector_score
389260,대명에너지,건설-건자재,28.238398,1,2.0,17.0,11.238398,1.255357,0.0,{'supply_contract': 2.0},[],11.238398,17.0
093520,매커스,반도체,24.52392,2,0.8,20.0,4.52392,1.543779,0.0,"{'neutral': 0.0, 'treasury_stock': 0.8}",[],4.52392,20.0
010960,삼호개발,건설-건자재,22.643,3,1.0,17.0,5.643,1.255357,0.0,{'supply_contract': 1.0},[],5.643,17.0
028100,동아지질,건설-건자재,22.643,4,1.0,17.0,5.643,1.255357,0.0,{'supply_contract': 1.0},[],5.643,17.0
054940,엑사이엔씨,건설-건자재,22.643,5,1.0,17.0,5.643,1.255357,0.0,{'supply_contract': 1.0},[],5.643,17.0
060370,LS마린솔루션,건설-건자재,22.643,6,1.0,17.0,5.643,1.255357,0.0,{'supply_contract': 1.0},[],5.643,17.0
066980,한성크린텍,건설-건자재,22.643,7,1.0,17.0,5.643,1.255357,0.0,{'supply_contract': 1.0},[],5.643,17.0
097230,HJ중공업,건설-건자재,22.643,8,1.0,17.0,5.643,1.255357,0.0,{'supply_contract': 1.0},[],5.643,17.0
009310,참엔지니어링,기계,22.238398,9,2.0,11.0,11.238398,0.678513,0.0,{'supply_contract': 2.0},[],11.238398,11.0
333620,엔시스,it하드웨어-디스플레이-전자부품,22.238398,10,2.0,11.0,11.238398,0.678513,0.0,"{'neutral': 0.0, 'supply_contract': 2.0}",[],11.238398,11.0
006260,LS,조선,21.643,11,1.0,16.0,5.643,1.159216,0.0,{'supply_contract': 1.0},[],5.643,16.0
064350,현대로템,조선,21.643,12,1.0,16.0,5.643,1.159216,0.0,"{'neutral': 0.0, 'supply_contract': 1.0}",[],5.643,16.0
000660,SK하이닉스,반도체,20.047602,13,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
000990,DB하이텍,반도체,20.047602,14,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
005740,크라운해태홀딩스,반도체,20.047602,15,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
005930,삼성전자,반도체,20.047602,16,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
008060,대덕,반도체,20.047602,17,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
011690,와이투솔루션,반도체,20.047602,18,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
011930,신성이엔지,반도체,20.047602,19,0.0,20.0,0.047602,1.543779,0.0,{'neutral': 0.0},[],0.047602,20.0
017900,광전자,반도체,20.047602,20,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
020760,일진디스플,반도체,20.047602,21,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
029460,케이씨,반도체,20.047602,22,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
031330,에스에이엠티,반도체,20.047602,23,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
031980,피에스케이홀딩스,반도체,20.047602,24,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
032580,피델릭스,반도체,20.047602,25,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
033170,시그네틱스,반도체,20.047602,26,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
033640,네패스,반도체,20.047602,27,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
036170,에이치엠넥스,반도체,20.047602,28,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
036200,유니셈,반도체,20.047602,29,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
036540,SFA반도체,반도체,20.047602,30,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
036710,심텍홀딩스,반도체,20.047602,31,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
036930,주성엔지니어링,반도체,20.047602,32,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
037350,성도이엔지,반도체,20.047602,33,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
038060,루멘스,반도체,20.047602,34,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
039030,이오테크닉스,반도체,20.047602,35,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
041520,이엘씨,반도체,20.047602,36,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
042700,한미반도체,반도체,20.047602,37,0.0,20.0,0.047602,1.543779,0.0,{'neutral': 0.0},[],0.047602,20.0
043590,웰킵스하이텍,반도체,20.047602,38,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
045100,한양이엔지,반도체,20.047602,39,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
045970,코아시아,반도체,20.047602,40,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
046890,서울반도체,반도체,20.047602,41,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
046970,우리로,반도체,20.047602,42,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
052860,아이앤씨,반도체,20.047602,43,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
052900,KX하이텍,반도체,20.047602,44,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
054450,텔레칩스,반도체,20.047602,45,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
054620,APS,반도체,20.047602,46,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
059090,미코,반도체,20.047602,47,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
059120,아진엑스텍,반도체,20.047602,48,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
060310,3S,반도체,20.047602,49,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
061970,LB세미콘,반도체,20.047602,50,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
064290,인텍플러스,반도체,20.047602,51,0.0,20.0,0.047602,1.543779,0.0,{'neutral': 0.0},[],0.047602,20.0
064520,테크엘,반도체,20.047602,52,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
064760,티씨케이,반도체,20.047602,53,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
066310,큐에스아이,반도체,20.047602,54,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
067310,하나마이크론,반도체,20.047602,55,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
074600,원익QnC,반도체,20.047602,56,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
077360,덕산하이메탈,반도체,20.047602,57,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
077500,유니퀘스트,반도체,20.047602,58,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
078350,한양디지텍,반도체,20.047602,59,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
080520,오디텍,반도체,20.047602,60,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
082270,젬백스,반도체,20.047602,61,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
083310,엘오티베큠,반도체,20.047602,62,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
084370,유진테크,반도체,20.047602,63,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
086390,유니테스트,반도체,20.047602,64,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
088280,쏘닉스,반도체,20.047602,65,0.0,20.0,0.047602,1.543779,0.0,{'neutral': 0.0},[],0.047602,20.0
089030,테크윙,반도체,20.047602,66,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
089790,제이티,반도체,20.047602,67,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
089890,코세스,반도체,20.047602,68,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
092070,디엔에프,반도체,20.047602,69,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
092190,서울바이오시스,반도체,20.047602,70,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
092220,KEC,반도체,20.047602,71,0.0,20.0,0.047602,1.543779,0.0,{'neutral': 0.0},[],0.047602,20.0
092600,앤씨앤,반도체,20.047602,72,0.0,20.0,0.047602,1.543779,0.0,{},[],0.047602,20.0
