industry_code,industry_name,base_score,overlay_adjustment,final_score,rank,negative_penalty,positive_contribution,channel_contributions
반도체,반도체,20.0,0.0,20.0,1,0.0,20.0,"{'G': 12.0, 'IC': 2.0, 'FC': 6.0, 'ED': 0.0, 'FX': 0.0}"
건설-건자재,건설/건자재,17.0,0.0,17.0,2,0.0,17.0,"{'G': 4.0, 'IC': 5.0, 'FC': 8.0, 'ED': 0.0, 'FX': 0.0}"
조선,조선,16.0,0.0,16.0,3,1.0,17.0,"{'G': 8.0, 'IC': 9.0, 'FC': -1.0, 'ED': 0.0, 'FX': 0.0}"
반도체장비,반도체장비,16.0,0.0,16.0,4,5.0,21.0,"{'G': 11.0, 'IC': -5.0, 'FC': 10.0, 'ED': 0.0, 'FX': 0.0}"
it하드웨어-디스플레이-전자부품,IT하드웨어/디스플레이/전자부품,11.0,0.0,11.0,5,0.0,11.0,"{'G': 5.0, 'IC': 1.0, 'FC': 5.0, 'ED': 0.0, 'FX': 0.0}"
기계,기계,11.0,0.0,11.0,6,2.0,13.0,"{'G': 10.0, 'IC': 3.0, 'FC': -2.0, 'ED': 0.0, 'FX': 0.0}"
자동차-부품,자동차/부품,10.0,0.0,10.0,7,3.0,13.0,"{'G': 9.0, 'IC': 4.0, 'FC': -3.0, 'ED': 0.0, 'FX': 0.0}"
증권,증권,9.0,0.0,9.0,8,0.0,9.0,"{'G': 2.0, 'IC': 0.0, 'FC': 7.0, 'ED': -0.0, 'FX': -0.0}"
철강,철강,8.0,0.0,8.0,9,9.0,17.0,"{'G': 7.0, 'IC': 10.0, 'FC': -9.0, 'ED': 0.0, 'FX': 0.0}"
해운-물류,해운/물류,5.0,0.0,5.0,10,5.0,10.0,"{'G': 3.0, 'IC': 7.0, 'FC': -5.0, 'ED': 0.0, 'FX': 0.0}"
소프트웨어-인터넷-게임,소프트웨어/인터넷/게임,5.0,0.0,5.0,11,7.0,12.0,"{'G': -5.0, 'IC': -2.0, 'FC': 12.0, 'ED': -0.0, 'FX': -0.0}"
비철-산업금속,비철/산업금속,3.0,0.0,3.0,12,8.0,11.0,"{'G': 0.0, 'IC': 11.0, 'FC': -8.0, 'ED': 0.0, 'FX': 0.0}"
헬스케어-바이오,헬스케어/바이오,2.0,0.0,2.0,13,9.0,11.0,"{'G': -8.0, 'IC': -1.0, 'FC': 11.0, 'ED': -0.0, 'FX': 0.0}"
방산,방산,0.0,0.0,0.0,14,8.0,8.0,"{'G': -4.0, 'IC': 8.0, 'FC': -4.0, 'ED': 0.0, 'FX': 0.0}"
리츠-부동산,리츠/부동산,0.0,0.0,0.0,15,9.0,9.0,"{'G': -9.0, 'IC': 0.0, 'FC': 9.0, 'ED': -0.0, 'FX': -0.0}"
에너지-정유-가스,에너지(정유/가스),-1.0,0.0,-1.0,16,13.0,12.0,"{'G': -3.0, 'IC': 12.0, 'FC': -10.0, 'ED': 0.0, 'FX': 0.0}"
내구소비재-의류-화장품,내구소비재/의류/화장품,-4.0,0.0,-4.0,17,8.0,4.0,"{'G': -1.0, 'IC': -7.0, 'FC': 4.0, 'ED': -0.0, 'FX': -0.0}"
은행,은행,-5.0,0.0,-5.0,18,12.0,7.0,"{'G': 1.0, 'IC': 6.0, 'FC': -12.0, 'ED': 0.0, 'FX': 0.0}"
화학,화학,-6.0,0.0,-6.0,19,12.0,6.0,"{'G': 6.0, 'IC': -6.0, 'FC': -6.0, 'ED': 0.0, 'FX': -0.0}"
항공,항공,-11.0,0.0,-11.0,20,12.0,1.0,"{'G': 0.0, 'IC': -12.0, 'FC': 1.0, 'ED': -0.0, 'FX': -0.0}"
여행-레저,여행/레저,-11.0,0.0,-11.0,21,13.0,2.0,"{'G': -2.0, 'IC': -11.0, 'FC': 2.0, 'ED': -0.0, 'FX': -0.0}"
유통-소매,유통/소매,-12.0,0.0,-12.0,22,15.0,3.0,"{'G': -7.0, 'IC': -8.0, 'FC': 3.0, 'ED': -0.0, 'FX': -0.0}"
통신,통신,-14.0,0.0,-14.0,23,14.0,0.0,"{'G': -11.0, 'IC': -3.0, 'FC': 0.0, 'ED': -0.0, 'FX': -0.0}"
보험,보험,-21.0,0.0,-21.0,24,21.0,0.0,"{'G': -6.0, 'IC': -4.0, 'FC': -11.0, 'ED': -0.0, 'FX': -0.0}"
유틸리티,유틸리티,-22.0,0.0,-22.0,25,22.0,0.0,"{'G': -12.0, 'IC': -10.0, 'FC': 0.0, 'ED': -0.0, 'FX': -0.0}"
필수소비재-음식료,필수소비재(음식료),-26.0,0.0,-26.0,26,26.0,0.0,"{'G': -10.0, 'IC': -9.0, 'FC': -7.0, 'ED': -0.0, 'FX': -0.0}"
