industry_code,industry_name,base_score,overlay_adjustment,final_score,rank,negative_penalty,positive_contribution,channel_contributions
금융__금융__에너지-화학,에너지/화학,2.20354,0.0,2.20354,1,0.0,2.20354,"{'G': 0.345133, 'IC': 0.99115, 'FC': 0.867257, 'ED': 0.0, 'FX': 0.0}"
제조__기계-장비__반도체,반도체,2.150442,0.0,2.150442,2,0.0,2.150442,"{'G': 0.99115, 'IC': 0.513274, 'FC': 0.646018, 'ED': 0.0, 'FX': 0.0}"
제조__전기-전자__반도체,반도체,2.106194,0.0,2.106194,3,0.0,2.106194,"{'G': 1.0, 'IC': 0.59292, 'FC': 0.513274, 'ED': 0.0, 'FX': 0.0}"
제조__운송장비-부품__자동차부품,자동차부품,2.079646,0.0,2.079646,4,0.0,2.079646,"{'G': 0.946903, 'IC': 0.610619, 'FC': 0.522124, 'ED': 0.0, 'FX': 0.0}"
제조__기계-장비__디스플레이,디스플레이,1.982301,0.0,1.982301,5,0.0,1.982301,"{'G': 0.858407, 'IC': 0.486726, 'FC': 0.637168, 'ED': 0.0, 'FX': 0.0}"
서비스__it서비스__소프트웨어,소프트웨어,1.964602,0.0,1.964602,6,0.0,1.964602,"{'G': 0.362832, 'IC': 0.637168, 'FC': 0.964602, 'ED': 0.0, 'FX': 0.0}"
제조__비금속__건설,건설,1.946903,0.0,1.946903,7,0.0,1.946903,"{'G': 0.168142, 'IC': 0.876106, 'FC': 0.902655, 'ED': 0.0, 'FX': 0.0}"
제조__전기-전자__전자부품,전자부품,1.946903,0.0,1.946903,8,0.0,1.946903,"{'G': 0.778761, 'IC': 0.628319, 'FC': 0.539823, 'ED': 0.0, 'FX': 0.0}"
제조__화학__건설,건설,1.946903,0.0,1.946903,9,0.0,1.946903,"{'G': 0.380531, 'IC': 0.761062, 'FC': 0.80531, 'ED': 0.0, 'FX': 0.0}"
제조__기계-장비__특수-목적용-기계,특수 목적용 기계,1.911505,0.0,1.911505,10,0.0,1.911505,"{'G': 0.646018, 'IC': 0.60177, 'FC': 0.663717, 'ED': 0.0, 'FX': 0.0}"
제조__화학__화학,화학,1.893806,0.0,1.893806,11,0.0,1.893806,"{'G': 0.469027, 'IC': 0.946903, 'FC': 0.477876, 'ED': 0.0, 'FX': 0.0}"
제조__화학__기타-화학제품,기타 화학제품,1.849557,0.0,1.849557,12,0.0,1.849557,"{'G': 0.460177, 'IC': 0.938053, 'FC': 0.451327, 'ED': 0.0, 'FX': 0.0}"
제조__전기-전자__통신장비,통신장비,1.840708,0.0,1.840708,13,0.0,1.840708,"{'G': 0.769912, 'IC': 0.575221, 'FC': 0.495575, 'ED': 0.0, 'FX': 0.0}"
제조__기계-장비__일반-목적용-기계,일반 목적용 기계,1.831858,0.0,1.831858,14,0.0,1.831858,"{'G': 0.637168, 'IC': 0.539823, 'FC': 0.654867, 'ED': 0.0, 'FX': 0.0}"
제조__화학__플라스틱제품,플라스틱제품,1.814159,0.0,1.814159,15,0.0,1.814159,"{'G': 0.451327, 'IC': 0.929204, 'FC': 0.433628, 'ED': 0.0, 'FX': 0.0}"
제조__화학__화장품,화장품,1.787611,0.0,1.787611,16,0.0,1.787611,"{'G': 0.442478, 'IC': 0.920354, 'FC': 0.424779, 'ED': 0.0, 'FX': 0.0}"
제조__금속__철강,철강,1.752213,0.0,1.752213,17,0.0,1.752213,"{'G': 0.309735, 'IC': 0.973451, 'FC': 0.469027, 'ED': 0.0, 'FX': 0.0}"
제조__기계-장비__이차전지,이차전지,1.725665,0.0,1.725665,18,0.0,1.725665,"{'G': 0.628319, 'IC': 0.469027, 'FC': 0.628319, 'ED': 0.0, 'FX': 0.0}"
제조__화학__반도체,반도체,1.699116,0.0,1.699116,19,0.0,1.699116,"{'G': 0.849558, 'IC': 0.840708, 'FC': 0.00885, 'ED': 0.0, 'FX': 0.0}"
it-서비스__it서비스__소프트웨어,소프트웨어,1.681416,0.0,1.681416,20,0.0,1.681416,"{'G': 0.353982, 'IC': 0.389381, 'FC': 0.938053, 'ED': 0.0, 'FX': 0.0}"
제조__화학__디스플레이,디스플레이,1.672567,0.0,1.672567,21,0.0,1.672567,"{'G': 0.80531, 'IC': 0.849558, 'FC': 0.017699, 'ED': 0.0, 'FX': 0.0}"
제조__전기-전자__전동기-발전기-및-전기-변환-공급-제어-장치,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치",1.628319,0.0,1.628319,22,0.0,1.628319,"{'G': 0.761062, 'IC': 0.477876, 'FC': 0.389381, 'ED': 0.0, 'FX': 0.0}"
제조__금속__비철금속,비철금속,1.592921,0.0,1.592921,23,0.0,1.592921,"{'G': 0.265487, 'IC': 0.964602, 'FC': 0.362832, 'ED': 0.0, 'FX': 0.0}"
제조__금속__금속가공,금속가공,1.59292,0.0,1.59292,24,0.0,1.59292,"{'G': 0.283186, 'IC': 0.911504, 'FC': 0.39823, 'ED': 0.0, 'FX': 0.0}"
제조__운송장비-부품__조선,조선,1.59292,0.0,1.59292,25,0.0,1.59292,"{'G': 0.938053, 'IC': 0.371681, 'FC': 0.283186, 'ED': 0.0, 'FX': 0.0}"
제조__전기-전자__이차전지,이차전지,1.59292,0.0,1.59292,26,0.0,1.59292,"{'G': 0.752212, 'IC': 0.460177, 'FC': 0.380531, 'ED': 0.0, 'FX': 0.0}"
금융__전기-전자__반도체,반도체,1.539823,0.0,1.539823,27,0.238938,1.778761,"{'G': 0.955752, 'IC': -0.238938, 'FC': 0.823009, 'ED': 0.0, 'FX': 0.0}"
제조__제약__제약,제약,1.477876,0.0,1.477876,28,0.0,1.477876,"{'G': 0.327434, 'IC': 0.619469, 'FC': 0.530973, 'ED': 0.0, 'FX': 0.0}"
제조__전기-전자__가전-전자제품,가전/전자제품,1.469027,0.0,1.469027,29,0.0,1.469027,"{'G': 0.743363, 'IC': 0.40708, 'FC': 0.318584, 'ED': 0.0, 'FX': 0.0}"
