stock_code,stock_name,industry_code,final_score,rank,raw_dart_score,raw_industry_score,normalized_dart_score,normalized_industry_score,normalized_financial_score,block_scores,risk_flags
065450,빅텍,제조__의료-정밀기기__측정-시험-항해-제어-및-기타-정밀기기-광학기기-제외,18.315917,1,1.0,1.053097,18.381622,-0.187729,0.0,{'supply_contract': 1.0},[]
005990,매일홀딩스,제조__음식료-담배__동-식물성-유지-및-낙농제품,17.77633,2,1.0,-0.309734,18.381622,-1.729407,0.0,{'supply_contract': 1.0},[]
001510,SK증권,금융__증권__증권,14.668165,3,0.8,1.115044,14.709344,-0.117653,0.0,"{'neutral': 0.0, 'treasury_stock': 0.8}",[]
004800,효성,금융__금융__에너지-화학,0.410024,4,0.0,2.20354,0.020233,1.113688,0.0,{},[]
006120,SK디스커버리,금융__금융__에너지-화학,0.410024,5,0.0,2.20354,0.020233,1.113688,0.0,{},[]
006840,AK홀딩스,금융__금융__에너지-화학,0.410024,6,0.0,2.20354,0.020233,1.113688,0.0,{},[]
010060,OCI홀딩스,금융__금융__에너지-화학,0.410024,7,0.0,2.20354,0.020233,1.113688,0.0,{},[]
078930,GS,금융__금융__에너지-화학,0.410024,8,0.0,2.20354,0.020233,1.113688,0.0,{},[]
031980,피에스케이홀딩스,제조__기계-장비__반도체,0.389001,9,0.0,2.150442,0.020233,1.053622,0.0,{},[]
036200,유니셈,제조__기계-장비__반도체,0.389001,10,0.0,2.150442,0.020233,1.053622,0.0,{},[]
036930,주성엔지니어링,제조__기계-장비__반도체,0.389001,11,0.0,2.150442,0.020233,1.053622,0.0,{},[]
039030,이오테크닉스,제조__기계-장비__반도체,0.389001,12,0.0,2.150442,0.020233,1.053622,0.0,{},[]
042700,한미반도체,제조__기계-장비__반도체,0.389001,13,0.0,2.150442,0.020233,1.053622,0.0,{},[]
064290,인텍플러스,제조__기계-장비__반도체,0.389001,14,0.0,2.150442,0.020233,1.053622,0.0,{},[]
082270,젬백스,제조__기계-장비__반도체,0.389001,15,0.0,2.150442,0.020233,1.053622,0.0,{},[]
083310,엘오티베큠,제조__기계-장비__반도체,0.389001,16,0.0,2.150442,0.020233,1.053622,0.0,{},[]
084370,유진테크,제조__기계-장비__반도체,0.389001,17,0.0,2.150442,0.020233,1.053622,0.0,{},[]
086390,유니테스트,제조__기계-장비__반도체,0.389001,18,0.0,2.150442,0.020233,1.053622,0.0,{},[]
089030,테크윙,제조__기계-장비__반도체,0.389001,19,0.0,2.150442,0.020233,1.053622,0.0,{},[]
089790,제이티,제조__기계-장비__반도체,0.389001,20,0.0,2.150442,0.020233,1.053622,0.0,{},[]
089890,코세스,제조__기계-장비__반도체,0.389001,21,0.0,2.150442,0.020233,1.053622,0.0,{},[]
092870,엑시콘,제조__기계-장비__반도체,0.389001,22,0.0,2.150442,0.020233,1.053622,0.0,{},[]
095610,테스,제조__기계-장비__반도체,0.389001,23,0.0,2.150442,0.020233,1.053622,0.0,{},[]
098460,고영,제조__기계-장비__반도체,0.389001,24,0.0,2.150442,0.020233,1.053622,0.0,{},[]
141000,비아트론,제조__기계-장비__반도체,0.389001,25,0.0,2.150442,0.020233,1.053622,0.0,{},[]
160980,싸이맥스,제조__기계-장비__반도체,0.389001,26,0.0,2.150442,0.020233,1.053622,0.0,{},[]
161580,필옵틱스,제조__기계-장비__반도체,0.389001,27,0.0,2.150442,0.020233,1.053622,0.0,{},[]
183300,코미코,제조__기계-장비__반도체,0.389001,28,0.0,2.150442,0.020233,1.053622,0.0,{},[]
217190,제너셈,제조__기계-장비__반도체,0.389001,29,0.0,2.150442,0.020233,1.053622,0.0,{},[]
217500,러셀,제조__기계-장비__반도체,0.389001,30,0.0,2.150442,0.020233,1.053622,0.0,{},[]
227950,엔투텍,제조__기계-장비__반도체,0.389001,31,0.0,2.150442,0.020233,1.053622,0.0,{},[]
232140,와이씨,제조__기계-장비__반도체,0.389001,32,0.0,2.150442,0.020233,1.053622,0.0,{},[]
232680,라온로보틱스,제조__기계-장비__반도체,0.389001,33,0.0,2.150442,0.020233,1.053622,0.0,{},[]
240810,원익IPS,제조__기계-장비__반도체,0.389001,34,0.0,2.150442,0.020233,1.053622,0.0,{},[]
241790,티이엠씨씨엔에스,제조__기계-장비__반도체,0.389001,35,0.0,2.150442,0.020233,1.053622,0.0,{},[]
253590,네오셈,제조__기계-장비__반도체,0.389001,36,0.0,2.150442,0.020233,1.053622,0.0,{},[]
322310,오로스테크놀로지,제조__기계-장비__반도체,0.389001,37,0.0,2.150442,0.020233,1.053622,0.0,{},[]
348210,넥스틴,제조__기계-장비__반도체,0.389001,38,0.0,2.150442,0.020233,1.053622,0.0,{'neutral': 0.0},[]
417840,저스템,제조__기계-장비__반도체,0.389001,39,0.0,2.150442,0.020233,1.053622,0.0,{},[]
420770,기가비스,제조__기계-장비__반도체,0.389001,40,0.0,2.150442,0.020233,1.053622,0.0,{},[]
000660,SK하이닉스,제조__전기-전자__반도체,0.371481,41,0.0,2.106194,0.020233,1.003567,0.0,{},[]
000990,DB하이텍,제조__전기-전자__반도체,0.371481,42,0.0,2.106194,0.020233,1.003567,0.0,{},[]
005930,삼성전자,제조__전기-전자__반도체,0.371481,43,0.0,2.106194,0.020233,1.003567,0.0,{},[]
011690,와이투솔루션,제조__전기-전자__반도체,0.371481,44,0.0,2.106194,0.020233,1.003567,0.0,{},[]
011930,신성이엔지,제조__전기-전자__반도체,0.371481,45,0.0,2.106194,0.020233,1.003567,0.0,{},[]
017900,광전자,제조__전기-전자__반도체,0.371481,46,0.0,2.106194,0.020233,1.003567,0.0,{},[]
020760,일진디스플,제조__전기-전자__반도체,0.371481,47,0.0,2.106194,0.020233,1.003567,0.0,{},[]
032580,피델릭스,제조__전기-전자__반도체,0.371481,48,0.0,2.106194,0.020233,1.003567,0.0,{},[]
033170,시그네틱스,제조__전기-전자__반도체,0.371481,49,0.0,2.106194,0.020233,1.003567,0.0,{},[]
033640,네패스,제조__전기-전자__반도체,0.371481,50,0.0,2.106194,0.020233,1.003567,0.0,{},[]
036170,에이치엠넥스,제조__전기-전자__반도체,0.371481,51,0.0,2.106194,0.020233,1.003567,0.0,{},[]
036540,SFA반도체,제조__전기-전자__반도체,0.371481,52,0.0,2.106194,0.020233,1.003567,0.0,{},[]
038060,루멘스,제조__전기-전자__반도체,0.371481,53,0.0,2.106194,0.020233,1.003567,0.0,{},[]
043590,웰킵스하이텍,제조__전기-전자__반도체,0.371481,54,0.0,2.106194,0.020233,1.003567,0.0,{},[]
045970,코아시아,제조__전기-전자__반도체,0.371481,55,0.0,2.106194,0.020233,1.003567,0.0,{},[]
046890,서울반도체,제조__전기-전자__반도체,0.371481,56,0.0,2.106194,0.020233,1.003567,0.0,{},[]
052860,아이앤씨,제조__전기-전자__반도체,0.371481,57,0.0,2.106194,0.020233,1.003567,0.0,{},[]
054450,텔레칩스,제조__전기-전자__반도체,0.371481,58,0.0,2.106194,0.020233,1.003567,0.0,{},[]
059090,미코,제조__전기-전자__반도체,0.371481,59,0.0,2.106194,0.020233,1.003567,0.0,{},[]
059120,아진엑스텍,제조__전기-전자__반도체,0.371481,60,0.0,2.106194,0.020233,1.003567,0.0,{},[]
061970,LB세미콘,제조__전기-전자__반도체,0.371481,61,0.0,2.106194,0.020233,1.003567,0.0,{},[]
064520,테크엘,제조__전기-전자__반도체,0.371481,62,0.0,2.106194,0.020233,1.003567,0.0,{},[]
066310,큐에스아이,제조__전기-전자__반도체,0.371481,63,0.0,2.106194,0.020233,1.003567,0.0,{},[]
067310,하나마이크론,제조__전기-전자__반도체,0.371481,64,0.0,2.106194,0.020233,1.003567,0.0,{},[]
077360,덕산하이메탈,제조__전기-전자__반도체,0.371481,65,0.0,2.106194,0.020233,1.003567,0.0,{},[]
078350,한양디지텍,제조__전기-전자__반도체,0.371481,66,0.0,2.106194,0.020233,1.003567,0.0,{},[]
080220,제주반도체,제조__전기-전자__반도체,0.371481,67,0.0,2.106194,0.020233,1.003567,0.0,{},[]
080520,오디텍,제조__전기-전자__반도체,0.371481,68,0.0,2.106194,0.020233,1.003567,0.0,{},[]
088280,쏘닉스,제조__전기-전자__반도체,0.371481,69,0.0,2.106194,0.020233,1.003567,0.0,{},[]
092190,서울바이오시스,제조__전기-전자__반도체,0.371481,70,0.0,2.106194,0.020233,1.003567,0.0,{},[]
092220,KEC,제조__전기-전자__반도체,0.371481,71,0.0,2.106194,0.020233,1.003567,0.0,{},[]
092600,앤씨앤,제조__전기-전자__반도체,0.371481,72,0.0,2.106194,0.020233,1.003567,0.0,{},[]
093640,케이알엠,제조__전기-전자__반도체,0.371481,73,0.0,2.106194,0.020233,1.003567,0.0,{},[]
094170,동운아나텍,제조__전기-전자__반도체,0.371481,74,0.0,2.106194,0.020233,1.003567,0.0,{},[]
094360,칩스앤미디어,제조__전기-전자__반도체,0.371481,75,0.0,2.106194,0.020233,1.003567,0.0,{},[]
096610,알에프세미,제조__전기-전자__반도체,0.371481,76,0.0,2.106194,0.020233,1.003567,0.0,{'neutral': 0.0},[]
096870,엘디티,제조__전기-전자__반도체,0.371481,77,0.0,2.106194,0.020233,1.003567,0.0,{},[]
097800,윈팩,제조__전기-전자__반도체,0.371481,78,0.0,2.106194,0.020233,1.003567,0.0,{},[]
101400,엔시트론,제조__전기-전자__반도체,0.371481,79,0.0,2.106194,0.020233,1.003567,0.0,{},[]
