stock_code,stock_name,industry_code,final_score,rank,raw_dart_score,raw_industry_score,normalized_dart_score,normalized_industry_score,normalized_financial_score,block_scores,risk_flags
348210,넥스틴,제조__기계-장비__반도체,10.426095,1,1.0,2.150442,10.056971,1.054641,0.0,{'supply_contract': 1.0},[]
212710,아이에스티이,제조__전기-전자__반도체,10.408528,2,1.0,2.106194,10.056971,1.004449,0.0,{'supply_contract': 1.0},[]
445090,에이직랜드,제조__전기-전자__반도체,10.408528,3,1.0,2.106194,10.056971,1.004449,0.0,{'supply_contract': 1.0},[]
137080,나래나노텍,제조__기계-장비__디스플레이,10.359341,4,1.0,1.982301,10.056971,0.863914,0.0,{'supply_contract': 1.0},[]
065370,위세아이텍,서비스__it서비스__소프트웨어,10.352314,5,1.0,1.964602,10.056971,0.843838,0.0,{'supply_contract': 1.0},[]
396470,워트,제조__기계-장비__특수-목적용-기계,10.331234,6,1.0,1.911505,10.056971,0.783608,0.0,{'supply_contract': 1.0},[]
065420,에스아이리소스,제조__화학__기타-화학제품,10.30664,7,1.0,1.849557,10.056971,0.713339,0.0,{'supply_contract': 1.0},[]
046390,삼화네트웍스,오락-문화__미디어-엔터__미디어-콘텐츠,9.902599,8,1.0,0.831859,10.056971,-0.441064,0.0,{'supply_contract': 1.0},[]
476080,M83,오락-문화__미디어-엔터__미디어-콘텐츠,9.902599,9,1.0,0.831859,10.056971,-0.441064,0.0,{'supply_contract': 1.0},[]
028260,삼성물산,유통__유통__기타-전문-도매,9.853411,10,1.0,0.707965,10.056971,-0.5816,0.0,{'supply_contract': 1.0},[]
130660,한전산업,일반서비스__일반서비스__건축기술-엔지니어링-및-관련-기술-서비스,9.663687,11,1.0,0.230088,10.056971,-1.123669,0.0,{'supply_contract': 1.0},[]
000490,대동,제조__기계-장비__특수-목적용-기계,8.318889,12,0.8,1.911505,8.044626,0.783608,0.0,"{'neutral': 0.0, 'treasury_stock': 0.8}",[]
462860,더즌,기타__기타__전기-통신,7.563507,13,0.8,0.008849,8.044626,-1.374627,0.0,{'treasury_stock': 0.8},[]
004800,효성,금융__금융__에너지-화학,0.38545,14,0.0,2.20354,-0.004755,1.114872,0.0,{},[]
006120,SK디스커버리,금융__금융__에너지-화학,0.38545,15,0.0,2.20354,-0.004755,1.114872,0.0,{},[]
006840,AK홀딩스,금융__금융__에너지-화학,0.38545,16,0.0,2.20354,-0.004755,1.114872,0.0,{},[]
010060,OCI홀딩스,금융__금융__에너지-화학,0.38545,17,0.0,2.20354,-0.004755,1.114872,0.0,{},[]
078930,GS,금융__금융__에너지-화학,0.38545,18,0.0,2.20354,-0.004755,1.114872,0.0,{'neutral': 0.0},[]
031980,피에스케이홀딩스,제조__기계-장비__반도체,0.364369,19,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
036200,유니셈,제조__기계-장비__반도체,0.364369,20,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
036930,주성엔지니어링,제조__기계-장비__반도체,0.364369,21,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
039030,이오테크닉스,제조__기계-장비__반도체,0.364369,22,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
042700,한미반도체,제조__기계-장비__반도체,0.364369,23,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
064290,인텍플러스,제조__기계-장비__반도체,0.364369,24,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
082270,젬백스,제조__기계-장비__반도체,0.364369,25,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
083310,엘오티베큠,제조__기계-장비__반도체,0.364369,26,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
084370,유진테크,제조__기계-장비__반도체,0.364369,27,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
086390,유니테스트,제조__기계-장비__반도체,0.364369,28,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
089030,테크윙,제조__기계-장비__반도체,0.364369,29,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
089790,제이티,제조__기계-장비__반도체,0.364369,30,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
089890,코세스,제조__기계-장비__반도체,0.364369,31,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
092870,엑시콘,제조__기계-장비__반도체,0.364369,32,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
095610,테스,제조__기계-장비__반도체,0.364369,33,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
098460,고영,제조__기계-장비__반도체,0.364369,34,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
141000,비아트론,제조__기계-장비__반도체,0.364369,35,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
160980,싸이맥스,제조__기계-장비__반도체,0.364369,36,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
161580,필옵틱스,제조__기계-장비__반도체,0.364369,37,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
183300,코미코,제조__기계-장비__반도체,0.364369,38,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
217190,제너셈,제조__기계-장비__반도체,0.364369,39,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
217500,러셀,제조__기계-장비__반도체,0.364369,40,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
227950,엔투텍,제조__기계-장비__반도체,0.364369,41,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
232140,와이씨,제조__기계-장비__반도체,0.364369,42,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
232680,라온로보틱스,제조__기계-장비__반도체,0.364369,43,0.0,2.150442,-0.004755,1.054641,0.0,{'neutral': 0.0},[]
240810,원익IPS,제조__기계-장비__반도체,0.364369,44,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
241790,티이엠씨씨엔에스,제조__기계-장비__반도체,0.364369,45,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
253590,네오셈,제조__기계-장비__반도체,0.364369,46,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
322310,오로스테크놀로지,제조__기계-장비__반도체,0.364369,47,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
417840,저스템,제조__기계-장비__반도체,0.364369,48,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
420770,기가비스,제조__기계-장비__반도체,0.364369,49,0.0,2.150442,-0.004755,1.054641,0.0,{},[]
000660,SK하이닉스,제조__전기-전자__반도체,0.346802,50,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
000990,DB하이텍,제조__전기-전자__반도체,0.346802,51,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
005930,삼성전자,제조__전기-전자__반도체,0.346802,52,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
011690,와이투솔루션,제조__전기-전자__반도체,0.346802,53,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
011930,신성이엔지,제조__전기-전자__반도체,0.346802,54,0.0,2.106194,-0.004755,1.004449,0.0,{'neutral': 0.0},[]
017900,광전자,제조__전기-전자__반도체,0.346802,55,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
020760,일진디스플,제조__전기-전자__반도체,0.346802,56,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
032580,피델릭스,제조__전기-전자__반도체,0.346802,57,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
033170,시그네틱스,제조__전기-전자__반도체,0.346802,58,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
033640,네패스,제조__전기-전자__반도체,0.346802,59,0.0,2.106194,-0.004755,1.004449,0.0,{'neutral': 0.0},[]
036170,에이치엠넥스,제조__전기-전자__반도체,0.346802,60,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
036540,SFA반도체,제조__전기-전자__반도체,0.346802,61,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
038060,루멘스,제조__전기-전자__반도체,0.346802,62,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
043590,웰킵스하이텍,제조__전기-전자__반도체,0.346802,63,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
045970,코아시아,제조__전기-전자__반도체,0.346802,64,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
046890,서울반도체,제조__전기-전자__반도체,0.346802,65,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
052860,아이앤씨,제조__전기-전자__반도체,0.346802,66,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
054450,텔레칩스,제조__전기-전자__반도체,0.346802,67,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
059090,미코,제조__전기-전자__반도체,0.346802,68,0.0,2.106194,-0.004755,1.004449,0.0,{'neutral': 0.0},[]
059120,아진엑스텍,제조__전기-전자__반도체,0.346802,69,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
061970,LB세미콘,제조__전기-전자__반도체,0.346802,70,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
064520,테크엘,제조__전기-전자__반도체,0.346802,71,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
066310,큐에스아이,제조__전기-전자__반도체,0.346802,72,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
067310,하나마이크론,제조__전기-전자__반도체,0.346802,73,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
077360,덕산하이메탈,제조__전기-전자__반도체,0.346802,74,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
078350,한양디지텍,제조__전기-전자__반도체,0.346802,75,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
080220,제주반도체,제조__전기-전자__반도체,0.346802,76,0.0,2.106194,-0.004755,1.004449,0.0,{},[]
